,id,title,director,cast,country,release_year,genre_types,rating,duration,description,popularity,production_companies,writers,combined,original_title
3676,423822,deadline: sirf 24 ghante,Tanveer Khan,"Irrfan Khan, Konkona Sen Sharma, Rajit Kapoor, Sandhya Mridul, Zakir Hussain, Rajeev Verma, Princey Shukla",India,2006,"Independent Movies, International Movies, Thrillers",TV-14,97 min,A surgeon’s perfect life is rattled when his daughter is taken hostage in their own home and he's given 24 hours to pay a hefty ransom.,2.75,Percept Picture Company,"Tanveer Khan, Dileep Shukla","tanveer khanirrfan khan, konkona sen sharma, rajit kapoor, sandhya mridul, zakir hussain, rajeev verma, princey shuklaindia2006",Deadline: Sirf 24 Ghante
3677,305342,dean,Demetri Martin,"Demetri Martin, Kevin Kline, Gillian Jacobs, Rory Scovel, Ginger Gonzaga, Reid Scott, Mary Steenburgen, Briga Heelan, Christine Woods, Peter Scolari",United States,2016,"Comedies, Dramas, Independent Movies",PG-13,94 min,"As his father takes steps to move on, a New Yorker grieving his mom's death visits Los Angeles where new possibilities may bring him out of his funk.",4.96,"Spring Pictures, Honora Productions",Demetri Martin,"demetri martindemetri martin, kevin kline, gillian jacobs, rory scovel, ginger gonzaga, reid scott, mary steenburgen, briga heelan, christine woods, peter scolariunited states2016",Dean
3678,397367,dear dad,Tanuj Bhramar,"Arvind Swamy, Himanshu Sharma, Ekavali Khanna, Aman Uppal, Bhavika Bhasin",India,2016,"Comedies, Dramas, Independent Movies",TV-14,83 min,"A father and son bond on an impromptu road trip over deep conversations, unexpected confessions, strange encounters ... and a drunken escapade.",2.69,"Indian Film Studios, Peppermint Studios",Tanuj Bhramar,"tanuj bhramararvind swamy, himanshu sharma, ekavali khanna, aman uppal, bhavika bhasinindia2016",Dear Dad
3679,140109,dear dracula,Chad Van De Keere,"Nathan Gamble, Ray Liotta, Emilio Estevez, Ariel Winter, Matthew Lillard, Yuri Lowenthal, Marion Ross, Tara Strong",United States,2012,"Children & Family Movies, Comedies",TV-Y7-FV,43 min,"When he gets a fan letter from a young monster movie buff, Dracula visits him and soon has a new friend helping him to get his confidence back.",3.45,Kickstart Entertainment,Brad Birch,"chad van de keerenathan gamble, ray liotta, emilio estevez, ariel winter, matthew lillard, yuri lowenthal, marion ross, tara strongunited states2012",Dear Dracula
3680,145312,dear santa,Jason Priestley,"Amy Acker, David Haydn-Jones, Patrick Creery, Gina Holden, James Dugan, Margherita Donato, Brooklynn Proulx, James D. Hopkin, Bob Irvine",Canada,2011,"Comedies, Romantic Movies",TV-PG,92 min,"Finding a letter mailed to Santa by a girl asking for a new wife for her daddy, twentysomething Crystal sets out to make the girl's wishes come true.",5.82,"Nomadic Pictures, ITV Studios America, Annuit Coeptis Entertainment Inc.",Barbara Kymlicka,"jason priestleyamy acker, david haydn-jones, patrick creery, gina holden, james dugan, margherita donato, brooklynn proulx, james d. hopkin, bob irvinecanada2011",Dear Santa
3681,2196,death at a funeral,Neil LaBute,"Chris Rock, Martin Lawrence, Tracy Morgan, Danny Glover, James Marsden, Luke Wilson, Zoe Saldana, Regina Hall, Columbus Short, Peter Dinklage, Kevin Hart, Loretta Devine, Regine Nehy, Keith David, Ron Glass",United States,2010,Comedies,R,93 min,"When a Los Angeles family's patriarch dies, his dutiful eldest son plans the funeral – which becomes a fiasco thanks to a colorful cast of attendees.",18.6,"Target Media Entertainment, VIP 2 Medienfonds, VIP 1 Medienfonds, Parabolic Pictures, Sidney Kimmel Entertainment, Metro-Goldwyn-Mayer, Mandate International, Stable Way Entertainment",Dean Craig,"neil labutechris rock, martin lawrence, tracy morgan, danny glover, james marsden, luke wilson, zoe saldana, regina hall, columbus short, peter dinklage, kevin hart, loretta devine, regine nehy, keith david, ron glassunited states2010",Death at a Funeral
3682,287523,death house,Harrison Smith,"Cody Longo, Cortney Palm, Adrienne Barbeau, Michael Berryman, Barbara Crampton, Sid Haig, Gunnar Hansen, Lindsay Hartley, Kane Hodder, Lloyd Kaufman, Camille Keaton, Bill Moseley, Tony Todd, Dee Wallace, Vincent Ward, Vernon Wells",United States,2017,Horror Movies,R,88 min,Two federal agents battle through an army of rioting prisoners – and their sense of reality – inside a high-tech prison modeled after Dante’s Inferno.,3.52,Entertainment Factory,"Gunnar Hansen, Harrison Smith","harrison smithcody longo, cortney palm, adrienne barbeau, michael berryman, barbara crampton, sid haig, gunnar hansen, lindsay hartley, kane hodder, lloyd kaufman, camille keaton, bill moseley, tony todd, dee wallace, vincent ward, vernon wellsunited states2017",Death House
3683,464000,deathgrip,Clay Porter,"Brendan Fairclough, Olly Wilkins, Kyle Jameson, Andrew Neethling, Nico Vink, Ryan Howard, Sam Hill, Josh Bryceland, Brandon Semenuk",United Kingdom,2017,"International Movies, Sports Movies",TV-MA,53 min,Mountain bikers – including legend Brendan Fairclough – put their skills to the test and engage in daring feats set against vivid backdrops.,4.95,,,"clay porterbrendan fairclough, olly wilkins, kyle jameson, andrew neethling, nico vink, ryan howard, sam hill, josh bryceland, brandon semenukunited kingdom2017",Deathgrip
3684,78827,deewangee,Anees Bazmee,"Ajay Devgn, Akshaye Khanna, Urmila Matondkar, Farida Jalal, Vijayendra Ghatge",India,2002,"International Movies, Thrillers",TV-MA,156 min,"Hired by a singer to defend her friend, who has been accused of murder, a formidable lawyer learns that the man he represents may not be innocent.",1.95,Neha Arts,"Anees Bazmee, Neeraj Pathak","anees bazmeeajay devgn, akshaye khanna, urmila matondkar, farida jalal, vijayendra ghatgeindia2002",Deewangee
3685,252451,defying the nazis: the sharps' war,"Ken Burns, Artemis Joukowsky","Tom Hanks, Marina Goldman",United States,2016,Documentaries,TV-14,79 min,"This film documents the story of minister Waitstill Sharp and his wife, Martha, who risked everything to save thousands of refugees fleeing the Nazis.",2.37,"No Limits Media, Florentine Films, Journey to Freedom, WETA","Matthew Justus, Artemis Joukowsky, David Blitstein","ken burns, artemis joukowskytom hanks, marina goldmanunited states2016",Defying the Nazis: The Sharps' War
3686,40345,delirium,Dennis Iliadis,"Topher Grace, Genesis Rodriguez, Patricia Clarkson, Callan Mulvey, Robin Thomas, Daisy McCrackin",United States,2018,"Horror Movies, Thrillers",R,96 min,A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.,3.36,G.R.P. Cinematografica,Renato Polselli,"dennis iliadistopher grace, genesis rodriguez, patricia clarkson, callan mulvey, robin thomas, daisy mccrackinunited states2018",Delirium
3687,306342,democrats,Camilla Nielsson,,"Denmark, Zimbabwe",2014,"Documentaries, International Movies",NR,99 min,"After Zimbabwe's disputed 2008 election results, political enemies are asked to write a new constitution and save their country from a bleak future.",1.45,"Upfront Films, Chicken & Egg Pictures, Tribeca Film Institute, BBC, SVT",,"camilla nielssondenmark, zimbabwe2014",Democrats
3688,449443,den of thieves,Christian Gudegast,"Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent, Meadow Williams, Maurice Compte, Brian Van Holt, Evan Jones, Mo McRae, Kaiwi Lyman",United States,2018,Action & Adventure,R,140 min,A highly skilled crew of bank robbers plotting a heist at the supposedly impenetrable Federal Reserve faces off against an elite unit of L.A. cops.,53.65,"Atmosphere Entertainment MM, Diamond Film Productions, G-BASE, Tucker Tooley Entertainment","Christian Gudegast, Paul T. Scheuring","christian gudegastgerard butler, pablo schreiber, o'shea jackson jr., 50 cent, meadow williams, maurice compte, brian van holt, evan jones, mo mcrae, kaiwi lymanunited states2018",Den of Thieves
3689,227266,desolate,Frederick Cipoletti,"Will Brittain, Callan Mulvey, Tyson Ritter, Bill Tangradi, Natasha Bassett, James Russo, Jonathan Rosenthal, Juston Street, Mark Kassen, Takuya Iba, Michael Rhys Kan, Jack Conley, Trieu Tran",,2018,"Dramas, Thrillers",TV-MA,88 min,"In a severe, drought-ravaged dystopia, the youngest of a farm family starts a quest for revenge after his brothers betray him and leave him for dead.",1.4,,Rob Grant,"frederick cipolettiwill brittain, callan mulvey, tyson ritter, bill tangradi, natasha bassett, james russo, jonathan rosenthal, juston street, mark kassen, takuya iba, michael rhys kan, jack conley, trieu tran2018",Desolate
3690,424284,desolation,Sam Patton,"Jaimi Paige, Alyshia Ochse, Toby Nichols, Claude Duhamel",United States,2017,"Horror Movies, Thrillers",TV-MA,76 min,"Along with her son and best friend, a grieving widow hikes into the woods to scatter her late husband's ashes, only to discover they're being stalked.",2.67,Desolated Productions,"Michael Larson-Kangas, Matt Anderson","sam pattonjaimi paige, alyshia ochse, toby nichols, claude duhamelunited states2017",Desolation
3691,463905,detention letter,Mohamed Samy,"Mohamed Ramadan, Dina El-Sherbiny, Eyad Nassar, Sayed Rajab, Walid Fawaz, Eman El-Assy",Egypt,2017,"Action & Adventure, International Movies",TV-14,99 min,A man begins to regret his choices when his brother decides to join him as a member of the same terrorist organization.,3.48,El Sobky Films for Cinema Production,Mohamed Samy,"mohamed samymohamed ramadan, dina el-sherbiny, eyad nassar, sayed rajab, walid fawaz, eman el-assyegypt2017",Detention Letter
3692,20367,detour,Christopher Smith,"Tye Sheridan, Bel Powley, Emory Cohen, Gbenga Akinnagbe, Jared Abrahamson, John Lynch, Stephen Moyer","United Kingdom, South Africa",2016,Thrillers,R,97 min,"Convinced his stepfather caused the crash that left his mother in a coma, a law student drunkenly agrees to his murder, then can't rescind the deal.",12.49,PRC,Martin Goldsmith,"christopher smithtye sheridan, bel powley, emory cohen, gbenga akinnagbe, jared abrahamson, john lynch, stephen moyerunited kingdom, south africa2016",Detour
3693,631021,deviant love,Michael Feifer,"Emma Bell, Nick Ballard, Bradley Bundlie, Gail O'Grady, Corbin Timbrook, Kate Lang Johnson, Robert Adamson, Caia Coley, Alicia James, Sotida Arpon",United States,2019,Thrillers,TV-14,87 min,"In a tailspin after her marriage collapses, Jamie falls for a helpful gentleman whose interest in her welfare hides sinister motives.",4.94,"Feifer Worldwide, MarVista Entertainment",Leah McKendrick,"michael feiferemma bell, nick ballard, bradley bundlie, gail o'grady, corbin timbrook, kate lang johnson, robert adamson, caia coley, alicia james, sotida arponunited states2019",Deviant Love
3694,408194,devil's bride,Saara Cantell,"Tuulia Eloranta, Magnus Krepper, Elin Petersdottir, Claes Malmberg, Kaija Pakarinen, Antti Reini, Lauri Tanskanen, Johanna af Schultén, Maria Sid, Pirkko Hämäläinen, Sonja Halla-aho","Finland, Sweden, Norway, Latvia, Germany",2016,"Dramas, International Movies",TV-MA,108 min,"On a small Finnish island in 1666, a teenage girl in love with a married fisherman becomes the center of a tragic witch hunt and power struggle.",3.71,"Periferia Productions, GötaFilm, Schubert International Filmproduktions","Saara Cantell, Leena Virtanen","saara cantelltuulia eloranta, magnus krepper, elin petersdottir, claes malmberg, kaija pakarinen, antti reini, lauri tanskanen, johanna af schultén, maria sid, pirkko hämäläinen, sonja halla-ahofinland, sweden, norway, latvia, germany2016",Devil's Bride
